,source,target,is_a,weight
105,JMorenovr,Renzo_Reggiardo,fan,85.4666666667
106,msvjbb,Renzo_Reggiardo,fan,89.5666666667
107,almendra2100,Renzo_Reggiardo,fan,56.7666666667
108,Read_alarcon,Renzo_Reggiardo,fan,73.3333333333
109,Ep16Alexander,Renzo_Reggiardo,fan,44.5333333333
110,napuri_v,Renzo_Reggiardo,fan,43.4333333333
111,EditorialN,Renzo_Reggiardo,fan,56.7333333333
112,Stephany_Arce,Renzo_Reggiardo,fan,101.866666667
113,alejandrina0z,Renzo_Reggiardo,fan,32.2333333333
114,jhon_velasque1,Renzo_Reggiardo,fan,52.3
115,RusherDayeli,Renzo_Reggiardo,fan,63.4333333333
116,1982Lmrb,Renzo_Reggiardo,fan,48.2333333333
117,zapateriatacone,Renzo_Reggiardo,fan,10.1
118,omarpacheco2516,Renzo_Reggiardo,fan,41.3
119,ioeq,Renzo_Reggiardo,fan,71.4333333333
120,cabanillasrc,Renzo_Reggiardo,fan,49.8333333333
121,Yanatuyucha,Renzo_Reggiardo,fan,87.9
122,Jozaes19,Renzo_Reggiardo,fan,57.5
123,INVESTIGAHUANCA,Renzo_Reggiardo,fan,52.8666666667
124,AlejandroVm95,Renzo_Reggiardo,fan,86.3333333333
125,Cipol_pe,Renzo_Reggiardo,fan,33.7333333333
126,MiguelChicomaK,Renzo_Reggiardo,fan,102.433333333
127,puravida30,Renzo_Reggiardo,fan,101.5
128,dpd90,Renzo_Reggiardo,fan,103.866666667
129,HUGOSOSER,Renzo_Reggiardo,fan,88.9333333333
130,JorgeVidalU,Renzo_Reggiardo,fan,51.4333333333
131,mariana121282,Renzo_Reggiardo,fan,114.933333333
132,alexandrea_gr,Renzo_Reggiardo,fan,83.3
133,JEANPAUL141,Renzo_Reggiardo,fan,88.1
134,01d33ff09963418,Renzo_Reggiardo,fan,41.8333333333
135,aperalta1803,Renzo_Reggiardo,fan,90.0666666667
136,cesarterronesre,Renzo_Reggiardo,fan,79.6666666667
137,willaxtv,Renzo_Reggiardo,fan,113.4
138,walmaterry,Renzo_Reggiardo,fan,69.2666666667
139,jurare100,Renzo_Reggiardo,fan,110.133333333
140,75robertosierra,Renzo_Reggiardo,fan,54.2
141,fherusa,Renzo_Reggiardo,fan,32.3
142,grandesteddy1,Renzo_Reggiardo,fan,41.5666666667
143,cynti92,Renzo_Reggiardo,fan,73.5333333333
144,Afcale,Renzo_Reggiardo,fan,103.7
145,charito173,Renzo_Reggiardo,fan,92.3333333333
146,leonard93120100,Renzo_Reggiardo,fan,46.1333333333
147,benja67vv,Renzo_Reggiardo,fan,42.7666666667
148,Guillermo2224,Renzo_Reggiardo,fan,112.9
149,gonzcanoron,Renzo_Reggiardo,fan,66.6666666667
150,oser72,Renzo_Reggiardo,fan,61.9
151,FULLCOLECCIONES,Renzo_Reggiardo,fan,72.2333333333
152,franklin282,Renzo_Reggiardo,fan,88.8333333333
153,chanowm07,Renzo_Reggiardo,fan,37.2333333333
154,danielforever32,Renzo_Reggiardo,fan,46.4333333333
155,wilbandi,Renzo_Reggiardo,fan,111.366666667
156,datachao,Renzo_Reggiardo,fan,67.4333333333
157,michifruss,Renzo_Reggiardo,fan,45.0333333333
158,comprometeRSe,Renzo_Reggiardo,fan,62.9666666667
159,diegodiazlatorr,Renzo_Reggiardo,fan,87.5333333333
160,RebazaKaren,Renzo_Reggiardo,fan,10.8666666667
161,Consejeroadp,Renzo_Reggiardo,fan,97.2666666667
162,SHOCKEVENTOS,Renzo_Reggiardo,fan,72.2666666667
163,dario_cavero,Renzo_Reggiardo,fan,85.2
164,regionsanmartin,Renzo_Reggiardo,fan,33.6333333333
165,VanessaGavidiac,Renzo_Reggiardo,fan,52.5333333333
166,JoshyRagui,Renzo_Reggiardo,fan,80.9666666667
167,eladia08253013,Renzo_Reggiardo,fan,30.0333333333
168,ANGRPERU,Renzo_Reggiardo,fan,44.3666666667
169,CarlosScheelje,Renzo_Reggiardo,fan,93.0
170,MaryDbarreto,Renzo_Reggiardo,fan,77.6333333333
171,FundasQuipu,Renzo_Reggiardo,fan,108.0
172,julisabp40,Renzo_Reggiardo,fan,33.4333333333
173,Cleidyshinha,Renzo_Reggiardo,fan,104.966666667
174,destrutro1,Renzo_Reggiardo,fan,49.4666666667
175,enndraco,Renzo_Reggiardo,fan,70.2333333333
176,cherrynerdy,Renzo_Reggiardo,fan,85.5
177,gianfrancog69,Renzo_Reggiardo,fan,103.433333333
178,JUANORL62407425,Renzo_Reggiardo,fan,56.1333333333
179,paziris28,Renzo_Reggiardo,fan,90.0333333333
180,Roxana_HA,Renzo_Reggiardo,fan,74.8666666667
181,martingv84,Renzo_Reggiardo,fan,111.833333333
182,anabelle_40,Renzo_Reggiardo,fan,43.5
183,MireyaSedamano,Renzo_Reggiardo,fan,44.6333333333
184,ean311,Renzo_Reggiardo,fan,102.2
185,gbgonzales,Renzo_Reggiardo,fan,112.566666667
186,0313Blass,Renzo_Reggiardo,fan,34.6666666667
187,IsisRuizLi,Renzo_Reggiardo,fan,80.5333333333
188,mapilca,Renzo_Reggiardo,fan,93.7
189,elishita62,Renzo_Reggiardo,fan,44.8
190,stephanie1D0710,Renzo_Reggiardo,fan,77.5
191,Sandravpc,Renzo_Reggiardo,fan,95.4333333333
192,nath_111,Renzo_Reggiardo,fan,101.733333333
193,Gatto48,Renzo_Reggiardo,fan,110.566666667
194,neyra_lama,Renzo_Reggiardo,fan,8.73333333333
195,25Dalay,Renzo_Reggiardo,fan,55.0333333333
196,tdls12,Renzo_Reggiardo,fan,79.9
197,pasamelamantys,Renzo_Reggiardo,fan,23.4
198,rosado_blas,Renzo_Reggiardo,fan,31.8333333333
199,JiMaL_mchOF,Renzo_Reggiardo,fan,98.0
200,GisselaCamargo,Renzo_Reggiardo,fan,109.0
201,cuatroyuno,Renzo_Reggiardo,fan,108.3
202,UKNOW20,Renzo_Reggiardo,fan,104.133333333
203,PamelaBustaman9,Renzo_Reggiardo,fan,76.6
204,VsEdgar,Renzo_Reggiardo,fan,74.3333333333
205,IngRobertMedina,Renzo_Reggiardo,fan,111.4
206,JUANCHI34,Renzo_Reggiardo,fan,98.9333333333
207,giu_lovon,Renzo_Reggiardo,fan,31.3
208,MickiEspiritu12,Renzo_Reggiardo,fan,107.2
209,EylaLina,Renzo_Reggiardo,fan,25.9333333333
210,DAVID7821,Renzo_Reggiardo,fan,82.0
211,3desmultimedia,Renzo_Reggiardo,fan,117.233333333
212,vitoko101,Renzo_Reggiardo,fan,99.4666666667
213,marcosrorogutie,Renzo_Reggiardo,fan,90.2
214,Prensavilla,Renzo_Reggiardo,fan,91.1333333333
215,JESUSCORDOVACA1,Renzo_Reggiardo,fan,41.1333333333
216,InvermetOficial,Renzo_Reggiardo,fan,51.6666666667
217,Ge_1905,Renzo_Reggiardo,fan,85.4333333333
218,BalarezoRuiz,Renzo_Reggiardo,fan,52.2
219,shaguinik,Renzo_Reggiardo,fan,41.5
220,carito_ccaa,Renzo_Reggiardo,fan,99.1
221,MarceloPezo1,Renzo_Reggiardo,fan,3.2
222,WGutierrezPE,Renzo_Reggiardo,fan,47.9666666667
223,KevinCapra5,Renzo_Reggiardo,fan,0.566666666667
224,bdelrio12,Renzo_Reggiardo,fan,91.4666666667
225,fabilzz,Renzo_Reggiardo,fan,98.0666666667
226,Franciscochilet,Renzo_Reggiardo,fan,76.8
227,William34825741,Renzo_Reggiardo,fan,3.13333333333
228,MichielVicente,Renzo_Reggiardo,fan,83.4
229,Judy_Hazel,Renzo_Reggiardo,fan,98.1333333333
230,KrizFlores1998,Renzo_Reggiardo,fan,45.2
231,MiloRuizG,Renzo_Reggiardo,fan,88.9
232,giovannasf,Renzo_Reggiardo,fan,90.6333333333
233,rauledu,Renzo_Reggiardo,fan,109.266666667
234,Alexandrita979,Renzo_Reggiardo,fan,43.8666666667
235,LuisTumy,Renzo_Reggiardo,fan,41.9666666667
236,eromanp,Renzo_Reggiardo,fan,90.8333333333
237,diana02r,Renzo_Reggiardo,fan,71.0333333333
238,jdominguez25978,Renzo_Reggiardo,fan,77.0
239,joanafarro,Renzo_Reggiardo,fan,71.3
240,rcorrea74,Renzo_Reggiardo,fan,103.533333333
241,visa_oficial,Renzo_Reggiardo,fan,92.0666666667
242,ensosi2012,Renzo_Reggiardo,fan,73.6333333333
243,gracielagrace08,Renzo_Reggiardo,fan,50.3
244,alvaradopaul,Renzo_Reggiardo,fan,91.5333333333
245,DianaWes1884,Renzo_Reggiardo,fan,91.4666666667
246,joselinarrieta1,Renzo_Reggiardo,fan,73.4333333333
247,Aldopiazza4,Renzo_Reggiardo,fan,69.1
248,_LizGonzales,Renzo_Reggiardo,fan,110.7
