fecha,Positividad,Likes,ReTweets,txt
2018-08-01 15:26:48,0.23960568710302366,9,5,"Lima está con Lay porque sabe que tiene un proyecto a futuro, realista. Una con oportunidades para todos Plan de gobierno --&gt; 🌾🌾"
2018-08-01 23:00:56,0.08349498634106756,22,7,"Desde Villa El Salvador te contamos nuestros planes para mejorar la salud de los limeños. Si no tenemos salud, no tenemos nada. Lee el plan aquí 🌾🌾"
2018-08-03 00:35:08,0.4546844194358098,14,8,"La Municipalidad de Lima tiene la obligación de dar facilidades a los jóvenes para que se desarrollen sanamente, pensando siempre en su futuro. Revisa nuestro plan de gobierno - 🌾🌾"
2018-08-03 17:08:10,0.3099818515899798,8,4,Caminata en el Rímac p
2018-08-03 21:17:50,0.7818360274420383,18,2,¡Estupenda caminata en el distrito histórico del Rímac! Gracias a toda la gente que se detuvo un momento para saludarnos y brindarnos su apoyo. Y gracias también a y su gran equipo. 🌾🌾
2018-08-05 00:46:07,0.03504104446925761,28,10,"No se enfrenta la delincuencia desde un programa de televisión, Lima necesita seguridad, pero también candidatos que no mientan."
2018-08-05 18:43:56,0.09172675598355472,13,6,En Lurín
2018-08-05 19:16:07,0.32823650481604266,7,1,
2018-08-05 21:43:40,0.541333260777616,9,2,"¡Vamos, Pachacámac!"
2018-08-06 15:41:04,0.8292044091239704,7,3,"Nuestro compromiso es con todos los limeños y el desarrollo de la ciudad está comprometido, también, con las oportunidades a los comerciantes de Lima. 🌾🌾"
2018-08-06 22:40:39,0.8311891436997352,9,3,"¡Pachacámac está con Lay! Junto a nuestro candidato, Kike Cabrera, recorrimos las calles del distrito, disfrutamos del cariño de la gente y nos compretimos a trabajar de la mano para el desarrollo de Lima. 🌾🌾"
2018-08-07 15:22:12,0.004450324046297558,10,3,"Porque no se puede mejorar Lima con mentiras, falsas promesas y corrupción. Nosotros nos comprometemos a trabajar honestamente por el futuro de Lima. Revisa nuestro plan para combatir la corrupción aquí - 🌾🌾"
2018-08-07 22:34:44,0.009051102974240685,13,4,"La delincuencia no se enfrenta conduciendo un programa de televisión. Lima necesita seguridad, pero también políticos honestos, que no mientan o pretendan adjudicarse títulos que no les corresponde. Que no nos vendan gato por liebre."
2018-08-08 16:15:36,0.9289138209432508,13,2,"Iniciamos nuestra caminata en Surco con una entrevista, hablando del gran problema del tránsito en la Urbanización Los Próceres y las soluciones a tomar. Acompañados siempre por 🌾🌾"
2018-08-09 02:03:59,0.07076428042669382,8,2,"Poco a poco los limeños van conociendo nuestras propuestas para que su calidad de vida mejore, para que Lima sea próspera sin corrupción. Si aún no revisas nuestro plan de gobierno, entra aquí 🌾🌾"
2018-08-09 15:45:23,0.11721573356846822,13,6,"Los pueblos indígenas tienen derecho a un sistema de salud pública de calidad, educación de primera y demás servicios que el estado debe brindar. Todos los organismos estatales tienen la tarea de luchar contra la inmensa desigualdad en que viven nuestros hermanos indígenas."
2018-08-09 22:39:19,0.9672781805569606,13,3,"No queríamos dejar de compartir, a través de estas fotos, los gratos momentos que vivimos en Magdalena el pasado 28 de julio. Gracias a Javier Olazabal y su equipo por tan bonita caminata. 🌾🌾"
2018-08-10 15:42:29,0.18076822606595172,7,2,"Tenemos el mejor equipo y el mejor plan de gobierno para Lima, para que salgamos de este caos, para mejorar la calidad de vida de los limeños. Postal con nuestros vecinos de Lurín y Rosa Torrejón. Plan de gob 🌾🌾"
2018-08-10 22:44:15,0.11312544181031998,4,0,"Surquillo merece una mejor gestión. Enith Maldonado por Surquillo está comprometida a trabajar con honestidad y en esa línea, sabemos que grandes cambios llegarán. Gracias por el recibimiento la semana pasada. 🌾🌾"
2018-08-11 16:56:59,0.5445083496337721,14,6,¡Desde Villa El Salvador! 🌾🌾
2018-08-11 16:56:59,0.5445083496337721,14,6,¡Desde Villa El Salvador! 🌾🌾
2018-08-12 01:16:20,0.7686147733414286,11,3,"Villa El Salvador tiene un potencial enorme. Estamos seguros que junto a lograremos ordenar y limpiar el distrito, como su gente lo merece. Gracias por esta maravillosa caravana de hoy. 🌾🌾"
2018-08-12 20:02:14,0.5914279375735833,5,1,Nuestros jóvenes son parte importante para que en Lima se empiece a generar un cambio. La que transmiten nos impulsa a seguir trabajando. 🌾🌾
2018-08-12 20:54:37,0.20638603879279657,8,2,¡#Pachacámac exige honestidad! 🌾🌾p
2018-08-13 14:55:44,0.29824595359858896,11,5,Los limeños sufrimos el caos de la ciudad porque la corrupción se ha encargado de nublar la voluntad de nuestras autoridades. ¡Digamos NO a la corrupción! Esto es lo que proponemos 🌾🌾
2018-08-13 21:38:29,0.045376067090510674,11,3,Yo no voy a atacar a otro candidato y sí voy a firmar el Pacto Ético 🌾🌾
2018-08-13 22:19:38,0.22159251948073289,9,3,Empieza la firma del Pacto Ético Electoral 2018
2018-08-14 00:32:51,0.2180566165082185,24,11,"Lamentable. Urresti debería visitar a un terapeuta, vino al pacto ético fuera de sí, faltando el respeto a los demás candidatos y al pueblo limeño."
2018-08-14 13:28:32,0.32834958904903033,4,1,En un momento salimos en - Lima necesita un cambio y nosotros sabemos cómo generarlo. 🌾🌾
2018-08-14 15:33:46,0.7869985053481862,5,2,Ahora nos toca conversar con 🌾🌾
2018-08-14 23:23:17,0.4179751088292809,20,8,Presentamos los 5 ejes de nuestro plan de gobierno. Una planificación adecuada y honesta es importante si queremos que la calidad de vida de los limeños mejore. Revisa nuestro plan de gobierno aquí - 🌾🌾
2018-08-15 15:24:57,0.2908148944785791,5,1,"Hagamos de Lima una ciudad ejemplar, seamos un solo equipo para acabar con el caos que todos sufrimos a diario. Plan de gobierno --&gt; 🌾🌾"
2018-08-15 22:21:46,0.8159733034204316,9,1,Estamos conversando sobre transporte y movilidad urbana en 🌾🌾
2018-08-16 01:26:35,0.7103073042108949,23,8,¿Qué haremos en nuestra gestión por las emprendedores y jóvenes que desean trabajar? Te lo explicamos en este video. Más detalles en nuestro plan 🌾🌾
2018-08-16 02:17:29,0.7053764746282633,6,1,Listo para salir al aire en unos minutos por 🌾🌾
2018-08-16 16:29:18,0.6606882573269164,7,3,"El alcalde de Lima está en la obligación de liderar una gestión para que TODOS los limeños sean beneficiados. Existe una sola Lima y es momento de que trabajemos juntos, conciliando y remando para un solo sentido. 🌾🌾"
2018-08-16 23:22:52,0.011485796411247983,22,9,"En la Municipalidad de Lima NO PERMITIREMOS corrupción y la enfrentaremos caiga quien caiga. Nuestro compromiso es con los limeños, con el pueblo. Discurso de una de nuestras visitas a Pachacámac con Kike Cabrera 🌾🌾"
2018-08-17 22:07:50,0.17656629422792527,16,4,"¡Gracias, Chorrillos! Hoy visitamos varios mercados cerca de La Curva y La Campiña, saludando y escuchando las necesidades de la gente. Nuestro compromiso sigue firme, queremos que la calidad de vida de los limeños mejore. 🌾🌾"
2018-08-17 22:07:50,0.17656629422792527,16,4,"¡Gracias, Chorrillos! Hoy visitamos varios mercados cerca de La Curva y La Campiña, saludando y escuchando las necesidades de la gente. Nuestro compromiso sigue firme, queremos que la calidad de vida de los limeños mejore. 🌾🌾"
2018-08-19 14:08:55,0.48291734995074154,6,1,El cariño de Villa María del Triunfo 🌾🌾
2018-08-19 15:14:42,0.38843302393067436,8,1,Desde Villa María del Triunfo 🌾🌾
2018-08-19 19:13:12,0.6376388698800829,9,2,"Promover cultura e incrementar las áreas verdes es nuestro compromiso en Villa El Salvador, junto a Marcelino Huamán, y en todo en Lima, conciliando con los demás alcaldes. 🌾🌾"
2018-08-20 14:38:14,0.5234373916387709,7,1,"A partir del 1 de enero, desde la Municipalidad de Lima, conciliaremos con las autoridades del Callao para que de una vez trabajemos coordinados y honestamente. Enviamos un abrazo muy fuerte a los vecinos del primer puerto peruano. 🌾🌾"
2018-08-20 21:09:11,0.5889259248118304,9,1,Conversando con 🌾🌾
2018-08-20 22:47:40,0.8898859100101791,15,5,"¡Espectacular, Magdalena! Gracias por este colorido corso del día sábado en donde recorrimos parte del distrito, recibimos el cariño y apoyo de los vecinos reafirmando el compromiso que tenemos con Javier Olazábal de trabajar juntos 🌾🌾"
