,source,target,is_a,weight
112,RicardoBelmontC,gala_peru,friend,93.1333333333
113,RicardoBelmontC,pilarcmq,friend,89.9
114,RicardoBelmontC,tanquedecasma,friend,111.433333333
115,RicardoBelmontC,Cristianforo,friend,81.5333333333
116,RicardoBelmontC,gobregionlima,friend,91.8333333333
117,RicardoBelmontC,egarditus,friend,64.9
118,RicardoBelmontC,radiolaorilla,friend,99.5
119,RicardoBelmontC,cpalomino,friend,133.233333333
120,RicardoBelmontC,paolorey_es,friend,112.833333333
121,RicardoBelmontC,angelvera20,friend,102.833333333
122,RicardoBelmontC,tiger2293,friend,63.1
123,RicardoBelmontC,PAULINAALY,friend,113.733333333
124,RicardoBelmontC,JaimeHerreraCaj,friend,109.2
125,RicardoBelmontC,IvoMalpartida,friend,90.8333333333
126,RicardoBelmontC,robdnavarro,friend,76.1666666667
127,RicardoBelmontC,twitcam,friend,131.766666667
128,RicardoBelmontC,cusiman,friend,114.766666667
129,RicardoBelmontC,jeanpi_pi,friend,102.6
130,RicardoBelmontC,Coco_Arevalo,friend,103.366666667
131,RicardoBelmontC,elpunzante,friend,63.7666666667
132,RicardoBelmontC,LUCIANA_LEON_R,friend,112.433333333
133,RicardoBelmontC,CarlosCrdnasBer,friend,77.4333333333
134,RicardoBelmontC,fantinofantino,friend,79.3666666667
135,RicardoBelmontC,VeryNiceTrue,friend,114.666666667
136,RicardoBelmontC,marlonai2010,friend,95.4
137,RicardoBelmontC,nzaibot,friend,113.333333333
138,RicardoBelmontC,ElizabethGLP,friend,67.4333333333
139,RicardoBelmontC,lucerocrdz,friend,113.233333333
140,RicardoBelmontC,pepex_,friend,100.133333333
141,RicardoBelmontC,amigasdenadie,friend,114.166666667
142,RicardoBelmontC,jeanbryanramos,friend,82.0333333333
143,RicardoBelmontC,echamealtoro,friend,84.4
144,RicardoBelmontC,dmarccas,friend,111.433333333
145,RicardoBelmontC,CarlosLeonAlz,friend,81.0333333333
146,RicardoBelmontC,David86221970,friend,4.13333333333
147,RicardoBelmontC,Italoperu,friend,92.5333333333
148,RicardoBelmontC,amnesico,friend,140.633333333
149,RicardoBelmontC,eldestapeweb,friend,48.5333333333
