,source,target,is_a,weight
212,MARTINFREDDYB,RicardoBelmontC,fan,84.5333333333
213,jose_cucho,RicardoBelmontC,fan,89.4333333333
214,JIMMYTORRALES,RicardoBelmontC,fan,89.1333333333
215,BernardoZegarra,RicardoBelmontC,fan,80.1333333333
216,luiscaballerom,RicardoBelmontC,fan,97.3333333333
217,omar_oeach1,RicardoBelmontC,fan,57.8666666667
218,DetectorDeTroll,RicardoBelmontC,fan,1.3
219,impresionesalem,RicardoBelmontC,fan,76.5666666667
220,milu14284921,RicardoBelmontC,fan,1.36666666667
221,froymn,RicardoBelmontC,fan,115.233333333
222,jpsalcedog,RicardoBelmontC,fan,91.7333333333
223,MauricioChereqe,RicardoBelmontC,fan,102.866666667
224,alexpj1989,RicardoBelmontC,fan,103.4
225,CruzadoIvanna,RicardoBelmontC,fan,49.9
226,fodfs,RicardoBelmontC,fan,94.5
227,Carl3074,RicardoBelmontC,fan,111.3
228,rogerh_2040,RicardoBelmontC,fan,34.8333333333
229,jorgealva19,RicardoBelmontC,fan,110.966666667
230,Marian8410,RicardoBelmontC,fan,82.0
231,morusutextil,RicardoBelmontC,fan,56.9
232,JuanJosVizcarra,RicardoBelmontC,fan,66.8333333333
233,ChesterMG2,RicardoBelmontC,fan,104.966666667
234,katiaduenasm,RicardoBelmontC,fan,100.2
235,MarceloPeredes,RicardoBelmontC,fan,43.4666666667
236,MARY_Fausto,RicardoBelmontC,fan,78.4333333333
237,abelsulcaes,RicardoBelmontC,fan,16.2333333333
238,Andrea24291108,RicardoBelmontC,fan,85.0
239,CripTaw0w,RicardoBelmontC,fan,52.6
240,josehernangarc1,RicardoBelmontC,fan,84.0666666667
241,GilmerQuispe3,RicardoBelmontC,fan,35.7333333333
242,ListerMateo1,RicardoBelmontC,fan,2.9
243,CRISTHIANOBISP1,RicardoBelmontC,fan,53.3333333333
244,PepeQhari,RicardoBelmontC,fan,25.5666666667
245,Walter12034360,RicardoBelmontC,fan,0.3
246,Carmia20987482,RicardoBelmontC,fan,0.133333333333
247,joseluisjn,RicardoBelmontC,fan,101.033333333
248,Ricardo262007,RicardoBelmontC,fan,59.6
249,deysi36250917,RicardoBelmontC,fan,72.5
250,alpmg123,RicardoBelmontC,fan,89.9
251,arleethandrea17,RicardoBelmontC,fan,46.7
252,IdmeAlexander,RicardoBelmontC,fan,0.3
253,JuanaTorresPer1,RicardoBelmontC,fan,3.76666666667
254,mike_aptitud,RicardoBelmontC,fan,57.5
255,MARIASEDANO,RicardoBelmontC,fan,94.1333333333
256,ElverGa91701098,RicardoBelmontC,fan,6.26666666667
257,geeralding,RicardoBelmontC,fan,54.6333333333
258,WilliamPolino,RicardoBelmontC,fan,44.2
259,escuelaDelVoto,RicardoBelmontC,fan,0.5
260,tinchafer,RicardoBelmontC,fan,99.8333333333
261,Henry10743,RicardoBelmontC,fan,11.4333333333
262,ginovallesilva,RicardoBelmontC,fan,103.966666667
263,Rodolfo41782483,RicardoBelmontC,fan,0.433333333333
264,Kemi_Antbry,RicardoBelmontC,fan,106.466666667
265,ilowis,RicardoBelmontC,fan,89.8
266,richardgutier20,RicardoBelmontC,fan,79.3666666667
267,rafafalcon77,RicardoBelmontC,fan,70.2666666667
268,Mariano_abad01,RicardoBelmontC,fan,30.7333333333
269,romario_paucar,RicardoBelmontC,fan,2.06666666667
270,manumed7,RicardoBelmontC,fan,96.6333333333
271,jufet1,RicardoBelmontC,fan,81.0
272,5angDC,RicardoBelmontC,fan,63.9
273,el_dulce1970,RicardoBelmontC,fan,66.2333333333
274,analicasas2,RicardoBelmontC,fan,74.3333333333
275,JorgeGLA,RicardoBelmontC,fan,86.0
276,acrlordperu,RicardoBelmontC,fan,4.46666666667
277,BrunoBenitesM,RicardoBelmontC,fan,91.9333333333
278,luhegoes,RicardoBelmontC,fan,18.2
279,AbelAlonsoF,RicardoBelmontC,fan,65.6666666667
280,05d_ronald,RicardoBelmontC,fan,72.1666666667
281,jczamora2000,RicardoBelmontC,fan,102.466666667
282,PoligamiaPeru,RicardoBelmontC,fan,24.8
283,STEMIGE_OFICIAL,RicardoBelmontC,fan,0.1
284,juhliet80,RicardoBelmontC,fan,38.9
285,jesusarmientov,RicardoBelmontC,fan,90.1
286,Andres9446199,RicardoBelmontC,fan,15.8
287,danml6469,RicardoBelmontC,fan,86.1
288,BenTamara_C,RicardoBelmontC,fan,18.5333333333
289,alapco,RicardoBelmontC,fan,67.1333333333
290,alvamina,RicardoBelmontC,fan,114.333333333
291,ycardensm,RicardoBelmontC,fan,0.133333333333
292,JuanC16798281,RicardoBelmontC,fan,0.333333333333
293,roberto_percy,RicardoBelmontC,fan,104.733333333
294,orlandojorgeram,RicardoBelmontC,fan,102.9
295,Mario92440845,RicardoBelmontC,fan,0.966666666667
296,EmilNoucome,RicardoBelmontC,fan,14.7333333333
297,eljohnnystar,RicardoBelmontC,fan,35.1333333333
298,PeruMinuto,RicardoBelmontC,fan,3.4
299,SteiisyNiicol,RicardoBelmontC,fan,81.3333333333
300,jessica68071951,RicardoBelmontC,fan,1.33333333333
301,CutidJazmin,RicardoBelmontC,fan,25.9333333333
302,REY4411,RicardoBelmontC,fan,106.4
303,Isaac85019418,RicardoBelmontC,fan,11.7
304,RicardoJOVoces,RicardoBelmontC,fan,55.1666666667
305,Botidos,RicardoBelmontC,fan,86.3
306,jorgemorenoperu,RicardoBelmontC,fan,110.266666667
307,heberluisolavar,RicardoBelmontC,fan,79.6333333333
308,EvyFbrs,RicardoBelmontC,fan,12.1333333333
309,diego_1819,RicardoBelmontC,fan,88.1666666667
310,Leonellane,RicardoBelmontC,fan,91.7
311,RuthRaymundezB,RicardoBelmontC,fan,86.9333333333
312,renzijesus,RicardoBelmontC,fan,99.7
313,zupat1,RicardoBelmontC,fan,90.4666666667
314,PaniaguaSalas,RicardoBelmontC,fan,82.2
315,ImprentaCharly,RicardoBelmontC,fan,89.6
316,estuardoramire9,RicardoBelmontC,fan,80.6333333333
317,radiolaorilla,RicardoBelmontC,fan,99.5
318,CallacaP,RicardoBelmontC,fan,1.63333333333
319,CelestinaPasco,RicardoBelmontC,fan,0.666666666667
320,Elito54632557,RicardoBelmontC,fan,0.366666666667
321,GlicerioQuispe,RicardoBelmontC,fan,79.1333333333
322,saraviafm,RicardoBelmontC,fan,85.0333333333
323,felipefIores,RicardoBelmontC,fan,3.26666666667
324,fotones_23,RicardoBelmontC,fan,74.6666666667
325,rubensa77,RicardoBelmontC,fan,101.766666667
326,JuanFra07753395,RicardoBelmontC,fan,22.8333333333
327,PepeDianderas,RicardoBelmontC,fan,97.7666666667
328,elvecinope,RicardoBelmontC,fan,87.6
329,930465046LEYVA,RicardoBelmontC,fan,101.3
330,JahiroBu,RicardoBelmontC,fan,71.6666666667
331,mariadecarrion,RicardoBelmontC,fan,100.966666667
332,Cristia79718645,RicardoBelmontC,fan,4.33333333333
333,Clinzi,RicardoBelmontC,fan,93.2
334,Malena_Desiree,RicardoBelmontC,fan,23.9
335,marcocc88,RicardoBelmontC,fan,110.5
336,CarlosVilchezFr,RicardoBelmontC,fan,104.933333333
337,purplejeis,RicardoBelmontC,fan,83.7
338,BurgaZamora,RicardoBelmontC,fan,0.3
339,ALstevemoralesv,RicardoBelmontC,fan,83.6
340,rubenp138,RicardoBelmontC,fan,82.5666666667
341,dimazagu07,RicardoBelmontC,fan,51.6333333333
342,HansMoric,RicardoBelmontC,fan,86.5333333333
343,RodrigoDonayre3,RicardoBelmontC,fan,0.0666666666667
344,elmejorerico,RicardoBelmontC,fan,112.1
345,daian103,RicardoBelmontC,fan,96.3666666667
346,SalinasNelma,RicardoBelmontC,fan,31.5333333333
347,BenjaminAyalaB1,RicardoBelmontC,fan,3.3
348,Sergio86026200,RicardoBelmontC,fan,0.533333333333
349,Wilver0575,RicardoBelmontC,fan,13.1333333333
350,HenryCorazon90,RicardoBelmontC,fan,19.2666666667
351,JFSanchezPolo,RicardoBelmontC,fan,88.4666666667
352,luzatanpalomin2,RicardoBelmontC,fan,31.6666666667
353,ControlHela,RicardoBelmontC,fan,89.7666666667
354,elcamarenaman,RicardoBelmontC,fan,54.2
355,Enzo33071949,RicardoBelmontC,fan,6.26666666667
356,soledadelcielo,RicardoBelmontC,fan,71.7666666667
357,Mariano_uk,RicardoBelmontC,fan,110.266666667
358,HanukaSamira,RicardoBelmontC,fan,97.2666666667
359,anthonyvaldebre,RicardoBelmontC,fan,24.5666666667
360,gladys581,RicardoBelmontC,fan,75.8333333333
361,WalterVelasqez,RicardoBelmontC,fan,110.566666667
362,conexionssopor1,RicardoBelmontC,fan,46.6666666667
363,RaylRios,RicardoBelmontC,fan,5.4
364,nsezilia18,RicardoBelmontC,fan,1.93333333333
365,FannyPerezPere7,RicardoBelmontC,fan,0.166666666667
366,Davidmelo19MELO,RicardoBelmontC,fan,77.5
367,Carlos_raul_26,RicardoBelmontC,fan,103.133333333
368,PaulLaime1,RicardoBelmontC,fan,8.33333333333
369,williamtapiac,RicardoBelmontC,fan,42.9
370,JorgeJfh,RicardoBelmontC,fan,61.7333333333
371,nalosbuffet,RicardoBelmontC,fan,50.8666666667
372,joeavila0701,RicardoBelmontC,fan,26.5666666667
373,JorgeLu200399,RicardoBelmontC,fan,72.1333333333
374,PaolaFerBlas,RicardoBelmontC,fan,74.1666666667
375,oeach1,RicardoBelmontC,fan,68.8
376,martingv84,RicardoBelmontC,fan,111.866666667
377,MMBAZ,RicardoBelmontC,fan,109.2
378,hectorsaul94,RicardoBelmontC,fan,56.3
379,MitzyRojas9,RicardoBelmontC,fan,2.76666666667
380,Lomaez,RicardoBelmontC,fan,108.3
381,alanvargas_29,RicardoBelmontC,fan,87.5666666667
382,hcrengifov,RicardoBelmontC,fan,114.9
383,jcoquis71,RicardoBelmontC,fan,84.8
384,Charo66524778,RicardoBelmontC,fan,14.9333333333
385,GarySimon27,RicardoBelmontC,fan,91.3
386,97291200,RicardoBelmontC,fan,64.7
387,djentd,RicardoBelmontC,fan,88.4666666667
388,FerReus2,RicardoBelmontC,fan,71.7666666667
389,adangope,RicardoBelmontC,fan,3.3
390,MilagrosLeivaG,RicardoBelmontC,fan,94.0333333333
391,flucas4,RicardoBelmontC,fan,77.1666666667
392,juliearantza,RicardoBelmontC,fan,85.6666666667
393,sahbaka,RicardoBelmontC,fan,110.366666667
394,villagarii,RicardoBelmontC,fan,75.2
395,HlindaAguirre,RicardoBelmontC,fan,22.1
396,LiamNarnia,RicardoBelmontC,fan,11.5
397,erika_qmollo,RicardoBelmontC,fan,40.2666666667
398,Pancho19854,RicardoBelmontC,fan,86.7666666667
399,unetealafuerza,RicardoBelmontC,fan,41.9333333333
400,RobertoEgues,RicardoBelmontC,fan,33.0666666667
401,MacmarMartin,RicardoBelmontC,fan,29.0666666667
402,solis_hancco,RicardoBelmontC,fan,2.63333333333
403,LLIFIAR,RicardoBelmontC,fan,94.0666666667
404,yanyrace,RicardoBelmontC,fan,14.7
405,elkikotes,RicardoBelmontC,fan,56.0666666667
406,shica3hotmailc1,RicardoBelmontC,fan,1.93333333333
407,Hurac72,RicardoBelmontC,fan,67.8666666667
408,Leonard17293443,RicardoBelmontC,fan,0.0666666666667
409,Janet_qh,RicardoBelmontC,fan,12.1666666667
410,Ces_Samaniego,RicardoBelmontC,fan,116.5
411,Nadia97743060,RicardoBelmontC,fan,3.1
412,BratzoBartra,RicardoBelmontC,fan,93.7666666667
413,dulantino,RicardoBelmontC,fan,41.2
414,ivan_apaza1,RicardoBelmontC,fan,25.1
415,LuisRostaing,RicardoBelmontC,fan,1.66666666667
416,Torrestania26,RicardoBelmontC,fan,65.9
417,VanezaUL28,RicardoBelmontC,fan,46.5666666667
418,csjhong,RicardoBelmontC,fan,102.133333333
419,Jesenia_Tuni,RicardoBelmontC,fan,86.2
420,SITOBUR,RicardoBelmontC,fan,110.733333333
421,kenshiro241286,RicardoBelmontC,fan,25.1666666667
422,JuanDelAguilaC,RicardoBelmontC,fan,80.9
423,CesarBejarano21,RicardoBelmontC,fan,85.0
424,cerveceroscc,RicardoBelmontC,fan,18.9333333333
425,Press_Group,RicardoBelmontC,fan,84.4666666667
426,DianaeEspinoza,RicardoBelmontC,fan,51.8666666667
427,CMARSANO,RicardoBelmontC,fan,99.9666666667
428,miguel79045088,RicardoBelmontC,fan,75.6
429,MigUelito_84,RicardoBelmontC,fan,101.233333333
430,Marlenymd0601,RicardoBelmontC,fan,75.9
431,RealDBstr,RicardoBelmontC,fan,69.0333333333
432,FidelVM1,RicardoBelmontC,fan,33.2666666667
433,loscazadoresla1,RicardoBelmontC,fan,70.6666666667
434,edsonperu,RicardoBelmontC,fan,99.3333333333
435,JuanSco69440949,RicardoBelmontC,fan,1.86666666667
436,valdivy,RicardoBelmontC,fan,0.466666666667
437,Aiden_Sur,RicardoBelmontC,fan,39.2333333333
438,Maylynfeliz,RicardoBelmontC,fan,95.6666666667
439,elhelenico,RicardoBelmontC,fan,118.466666667
440,Alexand89356404,RicardoBelmontC,fan,0.3
441,Cideoz,RicardoBelmontC,fan,23.1
442,BustosCc,RicardoBelmontC,fan,37.6333333333
443,Yeicobmv,RicardoBelmontC,fan,47.5
444,MeryRiv41582635,RicardoBelmontC,fan,5.7
445,Adriano33010068,RicardoBelmontC,fan,4.3
446,fpsConcept,RicardoBelmontC,fan,92.9
447,Silvia291,RicardoBelmontC,fan,98.4
448,perumundial2014,RicardoBelmontC,fan,83.9333333333
449,RamiroCordovaC,RicardoBelmontC,fan,8.4
450,terrondeazukarr,RicardoBelmontC,fan,31.1333333333
451,chris_lobato7,RicardoBelmontC,fan,73.4
452,nathali27194100,RicardoBelmontC,fan,78.9666666667
453,nutella11099,RicardoBelmontC,fan,53.9
454,AlpacinoG3,RicardoBelmontC,fan,88.0666666667
455,jantonio993,RicardoBelmontC,fan,77.4666666667
456,AlegriaValverde,RicardoBelmontC,fan,0.933333333333
457,gevurot,RicardoBelmontC,fan,84.3
458,dianexkpoper,RicardoBelmontC,fan,76.7333333333
459,Henry42928870,RicardoBelmontC,fan,0.866666666667
460,Industrial27,RicardoBelmontC,fan,75.9666666667
461,Milen202,RicardoBelmontC,fan,0.666666666667
462,talentoescolar,RicardoBelmontC,fan,102.5
463,Rocasagrone,RicardoBelmontC,fan,111.666666667
464,EduardoFrancoX,RicardoBelmontC,fan,108.6
465,xEventually,RicardoBelmontC,fan,88.2666666667
466,RadicalTMS,RicardoBelmontC,fan,55.2
467,manuelampuero,RicardoBelmontC,fan,96.6666666667
468,CarlosP17387277,RicardoBelmontC,fan,3.03333333333
469,KevinCapra5,RicardoBelmontC,fan,0.6
470,javiermanuelap,RicardoBelmontC,fan,56.3333333333
471,edumel_82502,RicardoBelmontC,fan,49.7666666667
472,ibcampomanes,RicardoBelmontC,fan,14.6
473,Mallelalo1,RicardoBelmontC,fan,0.266666666667
474,Avefenis777,RicardoBelmontC,fan,94.6666666667
475,Mallelalo2,RicardoBelmontC,fan,25.0666666667
476,Erickevv,RicardoBelmontC,fan,63.3666666667
477,rudyrsar,RicardoBelmontC,fan,28.8666666667
478,JuanPrezColoma4,RicardoBelmontC,fan,16.1
479,ag_serafin,RicardoBelmontC,fan,33.5333333333
480,rovaclava,RicardoBelmontC,fan,4.36666666667
481,J_Solorzano3,RicardoBelmontC,fan,13.7333333333
482,walterquispems,RicardoBelmontC,fan,53.8333333333
483,jimenaperu,RicardoBelmontC,fan,113.733333333
484,ricrep1,RicardoBelmontC,fan,73.2666666667
485,jucano1973,RicardoBelmontC,fan,75.6666666667
486,edrick4,RicardoBelmontC,fan,75.1333333333
487,tanispc,RicardoBelmontC,fan,69.0333333333
